CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,CH35,CH36,CH37,CH38,CH39,CH40,CH41,CH42,CH43,CH44,CH45,CH46,CH47,CH48,CH49,CH50,CH51,CH52,Mark
0.07811317,0.0536249,-0.01647538,-0.04540633,-0.03407581,-0.00446786,-0.03203234,0.02867729,0.0234345,-0.04089459,0.00268644,-0.02797808,0.00719386,0.01205656,-0.00568411,-0.00080187,0.01450304,-0.03662248,-0.00419701,-0.04313012,-0.03165113,-0.02981245,-0.03256352,0.00708797,0.04678135,0.01817299,0.03384282,-0.00241947,-0.0188181,-0.06746788,-0.05534344,-0.0549222,-0.05016008,0.03652104,0.09301345,0.0152427,-0.02249889,0.05174559,0.09931562,-0.07177052,-0.12669006,-0.05326412,0.01896726,0.01237779,0.15422651,0.02747193,-0.02919793,0.00995465,0.10774679,0.03308552,-0.10530593,-0.04686697,JUNK
0.0789279,0.05406323,-0.01664424,-0.04618724,-0.03418406,-0.00388872,-0.03222722,0.0292676,0.02532823,-0.03963059,0.00394784,-0.02777034,0.00739847,0.01259459,-0.00578039,-0.00041413,0.01498946,-0.0372013,-0.00255185,-0.04208411,-0.03078986,-0.02801347,-0.03144271,0.00764274,0.04767599,0.01856278,0.033651,-0.00205964,-0.0179316,-0.06577624,-0.05434397,-0.05250069,-0.04809305,0.03728148,0.09392772,0.01437396,-0.02370282,0.0517567,0.10116615,-0.06996254,-0.12649864,-0.05240373,0.02017314,0.01319378,0.15617286,0.02799969,-0.03047518,0.00978031,0.10928778,0.03436032,-0.10536287,-0.04589879,JUNK
0.0797576,0.05449054,-0.01685033,-0.04695624,-0.03425956,-0.00336054,-0.03246626,0.02982158,0.02710555,-0.03841849,0.0051782,-0.02757823,0.007573,0.01311117,-0.0058438,-0.00004942,0.01543614,-0.03780055,-0.00098481,-0.04107381,-0.02995811,-0.02627136,-0.03039036,0.00819714,0.04859135,0.01892585,0.03345995,-0.00171993,-0.01708151,-0.0641315,-0.05335822,-0.05021303,-0.04610046,0.03801946,0.09484733,0.01341817,-0.0249073,0.05179903,0.1029424,-0.06822018,-0.12630722,-0.05159265,0.02128306,0.01392989,0.15810342,0.02843868,-0.03180672,0.00964021,0.11075888,0.03556724,-0.10544883,-0.04498921,JUNK
0.08059429,0.0548987,-0.01709623,-0.04771463,-0.0343001,-0.00287022,-0.03274555,0.03035532,0.0287751,-0.0372512,0.00638134,-0.02739735,0.00771756,0.01360978,-0.0058716,0.00029889,0.0158588,-0.03841475,0.00050345,-0.04010133,-0.02915039,-0.02458667,-0.02940328,0.00875111,0.04953727,0.01926375,0.0332706,-0.00139561,-0.01626603,-0.06253662,-0.05238799,-0.04805214,-0.04419257,0.03873035,0.09577066,0.0123683,-0.02612042,0.05187547,0.10465752,-0.06653666,-0.12611291,-0.05082228,0.02229725,0.0145829,0.16000795,0.02878158,-0.03321276,0.00951884,0.11216871,0.03671318,-0.10556024,-0.04412653,JUNK
0.08142902,0.05527984,-0.01738367,-0.04846381,-0.03430571,-0.00240746,-0.03306381,0.0308826,0.03034904,-0.03612205,0.00756114,-0.02722268,0.00783199,0.01409291,-0.00586412,0.00063625,0.0162692,-0.03903925,0.00191617,-0.03916673,-0.02836136,-0.02295501,-0.0284745,0.00930271,0.05051766,0.01957507,0.0330818,-0.00108562,-0.015482,-0.06098809,-0.05143251,-0.04600087,-0.04237032,0.03940975,0.09669251,0.01121209,-0.02735685,0.05198391,0.10632051,-0.0649002,-0.12590775,-0.05008256,0.0232216,0.01515469,0.16187233,0.02901759,-0.03471749,0.00939616,0.11352351,0.0378058,-0.10568864,-0.04329622,JUNK
0.08225287,0.05562703,-0.01771471,-0.04920684,-0.03428029,-0.00196705,-0.0334174,0.03141157,0.03184,-0.03502873,0.00872003,-0.02705062,0.00791401,0.01455991,-0.00582696,0.0009644,0.01667233,-0.03967108,0.00325838,-0.03827043,-0.02758786,-0.02137079,-0.02759726,0.00984507,0.05152786,0.01985482,0.03289062,-0.00079454,-0.01472709,-0.05947962,-0.05049074,-0.04403814,-0.04062875,0.04005044,0.0976015,0.00993396,-0.0286354,0.05211638,0.10792985,-0.06329714,-0.12568253,-0.04936287,0.02406554,0.01564907,0.16367619,0.02913211,-0.03634502,0.00924868,0.11482307,0.03884906,-0.1058248,-0.04248461,JUNK
0.08305757,0.05593521,-0.01808993,-0.0499464,-0.03422944,-0.00154647,-0.03380465,0.03194835,0.03326292,-0.03396954,0.00986128,-0.02687721,0.00796207,0.01501022,-0.00576769,0.0012841,0.01706979,-0.04030642,0.00453815,-0.03741054,-0.02682694,-0.01982504,-0.02676209,0.01037097,0.05256015,0.02009829,0.03269528,-0.00052769,-0.01399743,-0.05800016,-0.04955913,-0.04213732,-0.03895458,0.04064678,0.09848568,0.00852234,-0.02997294,0.05226372,0.10948062,-0.06171118,-0.12542562,-0.04865135,0.0248431,0.01607424,0.16539992,0.02911347,-0.03811301,0.00905512,0.11606523,0.03984696,-0.10595693,-0.04167702,JUNK
0.08383643,0.05620174,-0.01850719,-0.05068415,-0.03415969,-0.00114457,-0.0342204,0.03249738,0.03463426,-0.03294243,0.01098976,-0.0266972,0.00797644,0.01544457,-0.00569442,0.001596,0.01746175,-0.04093969,0.0057662,-0.03658266,-0.02607507,-0.01830527,-0.02595731,0.01087456,0.05360623,0.02030306,0.03249655,-0.00028906,-0.01328707,-0.05653463,-0.04863181,-0.04026806,-0.03732926,0.04119647,0.0993349,0.00697361,-0.03138046,0.05241796,0.11096746,-0.0601238,-0.12512319,-0.0479349,0.02557241,0.01644298,0.16702825,0.0289559,-0.04002866,0.00879956,0.11724809,0.0408048,-0.10607106,-0.04085786,JUNK
0.08458374,0.05642588,-0.01896299,-0.05142146,-0.03407913,-0.00076245,-0.03465763,0.03306006,0.03597016,-0.03194596,0.01211087,-0.02650573,0.00795817,0.01586415,-0.00561644,0.00189982,0.01784623,-0.04156413,0.00695418,-0.03578096,-0.02532911,-0.01679799,-0.02517089,0.01135083,0.054657,0.0204689,0.0322978,-0.00008167,-0.01258946,-0.05506667,-0.04770145,-0.03840001,-0.03573014,0.04169946,0.10014017,0.00529331,-0.03286147,0.05257236,0.11238317,-0.05851704,-0.12476141,-0.04720043,0.02627332,0.01677075,0.16854946,0.02865967,-0.04208718,0.0084722,0.11836861,0.04172792,-0.1061528,-0.04001285,JUNK
0.08529644,0.05660931,-0.01945252,-0.05215914,-0.03399698,-0.00040288,-0.0351111,0.03363571,0.03728602,-0.03098007,0.01323013,-0.02629824,0.00790928,0.01627052,-0.00554375,0.0021947,0.01821965,-0.042172,0.00811402,-0.03499883,-0.02458654,-0.01529022,-0.02439135,0.01179526,0.05570324,0.02059825,0.03210569,0.00009319,-0.01189793,-0.05358031,-0.04675999,-0.03650678,-0.03413304,0.04215711,0.10089407,0.00349784,-0.0344107,0.0527225,0.11371816,-0.05687439,-0.12432864,-0.04643517,0.02696594,0.0170742,0.16995573,0.02823211,-0.04427055,0.00807048,0.11942302,0.0426202,-0.1061896,-0.03912942,JUNK
